_doc_id,text_original,label,dominant_topic,topic_probability
DOC_51278E1EF941F8AE,"Summary:
So listen guys, Zambia has decided they are now brave enough to spy on us, they’re not even being specific on what matters, if they’re even sure themselves. We don’t know why when other countries wouldn’t dare, just giving you all a heads up in case you’re planning on contacting anyone.
Get ready, if you know, you know..

(You can hear the condescending voice in this letter.)",NEGATIVE,4,0.83385795
DOC_90D78BDA35F3A8B4,Your friend was saying that too we are not fools.,NEGATIVE,3,0.5576316
DOC_EB299DFD7798627F,Changing Tides it's sad that you hide behind a title but inwant to ask only one question; WHY ME insults the so-called president because of the blatant lies from campaign promises to more fake deceitful leadership decisions. Is it okay for the president to continue deceiving the masses and when we have people who appreciate their freedom of expression then they should be sent to prison?,NEGATIVE,6,0.45375594
DOC_4BA44C3A9E7E1FE4,From being an autocracy he is  slowly becoming a dictator,NEGATIVE,5,0.5632988
DOC_31B365CA8A44E9ED,"If this notice is indeed legitimate, what a twisted way the american embassy has put it. 
I mean...if it ain't the pot calling the kettle black. Underline 'intrusive surveillance' and 'privacy protection provisions that prevail in other countries'. I'm sorry, aren't they the masters at this?  Don't they practice the same and even worse 🫡.",NEGATIVE,5,0.4911038
DOC_0DE0496235A24CE3,They'll jail me pantufye akamwenso kalifwa,NEGATIVE,0,0.63886625
DOC_9A26C8C2B56ACABF,Most of these social media platforms are mostly used by less learned persons who always accuse and insult innocent people. This is a good act.,POSITIVE,6,0.5787942
DOC_CC3B65CE8D093632,Muza sila nabu online politician natu media twa boza,NEGATIVE,2,0.7721148
DOC_8F87FDA31BE8DDF1,There's too much abuse on the Media especially here he has done well,POSITIVE,6,0.8393134
DOC_0309FD51DF2C9F23,Do we even have even space in prison to accommodate people or it's to mangaila pa mwela?,NEGATIVE,4,0.40735433
DOC_B528549D91D226D3,"I listened from Aunt Lilien Mutambo,she has explained so well.Indeed it's a miss",NEGATIVE,5,0.5627384
DOC_49723812441E8463,Can't say much coz of cyber fimo fimo,NEGATIVE,2,0.6403262
DOC_69EFF5A11B01F844,Why wasn't this law concluded in parley. I thought it was on the flow of parley. Bally nankwe he will start loosing his popularity. Why do they want to start spying on private conversation on us.,NEGATIVE,6,0.49929923
DOC_438F324CBEB48CCC,Good move coz bantu benzo payana vikwati  kusila mulandu wama phone.,POSITIVE,2,0.67737037
DOC_E308614F657888B1,"Nduwe ni yebo kayi and what influence did you have before yowa resignation? On this decision,you are alone!",NEUTRAL,5,0.58266056
DOC_42A3E32FB641D253,"""If privacy is outlawed, only outlaws will have privacy."" - Phil Zimmermann",NEGATIVE,6,0.78037554
DOC_2143D260DE7F6D67,Political power is always temporal.These laws will start haunting them,NEGATIVE,1,0.86844623
DOC_1C2F963B622DAAC0,The courts will be flooded with these cases 🥱 anyway time to refrain from commenting unnecessary 🤦🏾,NEGATIVE,0,0.5417014
DOC_56A726760CE2F1C9,The problem with this boy is that he thinks is more clever than anyone let people judge you personally l don't like the way he articulate issues it was going to be okay if they appointed someone from southern than this boy from katete,NEGATIVE,5,0.39515522
DOC_B8DB14841F65BA16,"Kwati fyapanga sense...
Well done.",POSITIVE,5,0.32317722
DOC_C009DDBAEF49466E,"Have you not just withdrawn your support? Where you a card carrying member? What position did you have in the party? Anyway, sad to see you go.",NEUTRAL,6,0.46001709
DOC_92D4E2B321DD8432,The message is very clear and straightforward. Let those with ears hear.,NEUTRAL,4,0.3323586
DOC_E747759F06FFDA88,We hope the police will start arresting people for Cyber crime offences soon. Democracy is not about insulting innocent people,POSITIVE,6,0.6659335
DOC_3AC0E5B646D15174,"Example, GBM was released from troubles and vry happy after long time in jail. Shall also get relieved time to come soon😎😎",NEUTRAL,4,0.69403124
DOC_13A1BB856776314A,Only a certain clique is protected by this law,NEGATIVE,0,0.77133816
DOC_450CF65FFA09124F,South African democracy is far much better than Zambia you think you can compare yourselves to SA ikalenifye uluse to your followers in that room 😉. Akubepeniko abashayako or stay in South Africa,NEUTRAL,6,0.9441775
DOC_EE2CBE4BC71E21EF,"Surely being scammed ati you will be making bracelets, we hope with free education people can put their head to good use....",NEUTRAL,6,0.5265695
DOC_BE201E5153512D79,No please we know it's the silence on us zambians which you guys have brought. You want to dictate everything now.,NEGATIVE,1,0.65680313
DOC_937DE9A53D52E06E,"Just passing through ine nemula 🚶
Kaili tiziba who Popi 🐩 is going to bed with",NEUTRAL,0,0.8327151
DOC_4266B30ADC574A51,"This is fair judgment , and he’s lucky bamupasa six months 🥴I’m sure takabwekeshepo, this should be a lesson to everyone.",POSITIVE,4,0.4923045
DOC_C9BEFD7BEE98BE5C,I guess this was suppose to be said before signing ✍️,NEGATIVE,3,0.5465195
DOC_0EC07AF42163FE14,The freedom of speech Chiluba officiated is no more we in dictatorship again,NEGATIVE,6,0.8393244
DOC_0C93A8D3204354AB,As if america doesn't do this .... America even goes further to surveillance ones Facebook page etc,NEUTRAL,0,0.5345494
DOC_41ADEF4E9D35E838,"Mark Simuuwe sir, you are always a casuist and sophist ( debater who uses clever ways to debate). you are only doing apologetics here and you know it.",NEGATIVE,5,0.55578715
DOC_DCF9F1229B37DDBD,"DR SANSAKUWA
THE TRADITIONAL HEALER .
+260979329532",NEUTRAL,6,0.17528394
DOC_3C4DF4A0ACDA2AFF,Hubby was explaining that to me yesterday cudnt even understand it I just said oho ok,NEUTRAL,5,0.63644886
DOC_06EF13F1F1E51895,And this same law does not allow you to tell anyone that you are appearing in court over Cyber crimes . Ndipo tisile kulongedwa. Kkkkkkkk Yaba,NEGATIVE,4,0.7565159
DOC_3FB72C01C05674AF,We had ilyashi Yama VPN Yama this too shall pass. Desperate time resulting into implementing desperate measures. Nipano tuli.,NEGATIVE,6,0.79298854
DOC_AD03EC6D05113016,"We need sanity in this country, too much barbarism and sour mouths.",POSITIVE,6,0.7803933
DOC_18D5CC0D93A5B2BA,"Don't even waste time with USA ,China is there for us",NEUTRAL,2,0.8333855
DOC_CC2A47ACB9E51893,The problem we have in zambia is not having the laws in place but we lack simple interpretation for anyone to understand and know where and how to apply the law,NEUTRAL,6,0.9225028
DOC_00677A91FF333EA0,Literally nothing wrong with cyber law but definitely something wrong with the people who said they would reverse the law since there was no need for it as there were enough laws already that would handle any cyber crimes. Even clearly stating that the law was discouraging people to comment online,POSITIVE,5,0.4248842
DOC_451730AD61A1C37B,"That's true , you have to enforce it I have a trust in you , upnd never disappoint",NEUTRAL,0,0.50038826
DOC_14B40CE57AD1A3E1,Mostly its women that find this law very harsh kukonda mulomo 😂😂,NEUTRAL,4,0.55577457
DOC_854E1FEE05B0A480,Why do people in those countries opt for Ubuntu OS? I end here.,NEUTRAL,5,0.6363228
DOC_C1E35C3F7E9854D6,"ZNBC; best news media outlet in the world. BBC, CNN, Aljazeera, DW, SABC and so on should take a leaf from your balanced and up-to-date reporting. No station exemplifies impartiality, professionalism and timely dissemination of information like you. We could be living in the stone-age era minus you guys. Keep it up.",NEUTRAL,4,0.52676046
DOC_9CD177B51ED2A61F,"A Bill of Rights can change through various processes, which may vary depending on the country or jurisdiction. 

*Formal Amendments*
1. *Constitutional Amendments*: A Bill of Rights can be amended through a formal process, such as a constitutional amendment, which often requires a supermajority vote in the legislature or a national referendum.
2. *Legislative Changes*: In some cases, a Bill of Rights can be modified through ordinary legislation, although this may be subject to certain limitations or requirements.

*Judicial Interpretation*
1. *Court Rulings*: Courts, particularly supreme courts or constitutional courts, can interpret the Bill of Rights and shape its application through their rulings.
2. *Precedent-Setting Cases*: Landmark cases can establish new precedents, effectively changing the interpretation and application of the Bill of Rights.

*Social and Political Change*
1. *Shifting Public Opinion*: Changes in public opinion and societal values can lead to calls for reforms or amendments to the Bill of Rights.
2. *Political Will*: Governments and politicians may prioritize changes to the Bill of Rights in response to emerging issues or crises.
🤔🤔but on this one its like the opposition party refused to sign it, anyway it is what it is.its too early to celebrate but I like point number two 👆🏻on social and political change",NEUTRAL,6,0.59289306
DOC_857A94A1957840EE,What's the penalty for using a pseudo name?,NEUTRAL,2,0.83337593
DOC_E053F1AAFD0C5543,Awe somebody has to pay for the embarrassment and humiliation they caused to me🤜🤛💪 thank you for this cyber security law,POSITIVE,2,0.71703154
DOC_9774CF4E7E284C25,"The problem isn't about the law,but the consistency when it comes to the leadership we currently have...in the pf regime our current president thought otherwise...he was in the media against the same cyber law stating it was coming to oppress..he should have come out the same way he did when he was against, giving reasons as to why we shouldn't have it..In the same manner tell us what has changed and why we should have it now ....",NEGATIVE,2,0.7731102
DOC_FEA87AA4B4CFF556,"I guess this typa law shows that everything can have advantages and disadvantages.
Law broken down beautifully but still limits an individual to a certain extent. 
Heniway, we're touching our partner's phones and still get those screenshots if we have to.",NEUTRAL,6,0.61982495
DOC_3D075D7D9289E2A4,That was a very powerful move. It's truly disrespectful and embarrassing how the state is being treated with such disregard.,POSITIVE,2,0.52579606
DOC_EB74E24719A906B2,Zambia always unite for one purpose,NEUTRAL,5,0.7698141
DOC_E6381F7971216D5F,"Iye the prisons will now become  full no need to study hard  or work,because  any mistake  you are jailed.no friendships now",NEGATIVE,4,0.486661
DOC_D655F68299998328,This topic needs to be cleared out properly not the way our minister did it. He explained but was too fast because of having limited time. Let the minister feature on  a certain program so that he can clear the air properly. Bamukukulu are interpreting this message wrongly giving a wrong impression to people even foreigners kwati techalo cabo.,NEUTRAL,0,0.4920073
DOC_AF5EEB1983881A19,"On the part of recording conversations babwezemo mutima....what if someone is threatening your life and you want to take that as evidence??😂😂
Elo nanga ise ba screenshot association nayeve balesa??? 💀💀💀💀💀",NEGATIVE,3,0.61454016
DOC_BEC1BA1223E64C3F,Good lesson 👌you talk about me negativity I sue you . Period 👍,POSITIVE,4,0.65826786
DOC_195B373A6D00C7F2,"Aba bafikala didnt learn à lesson when they were in opposition, i think ECL was linient on them bcz  supporting wrong things has become normal",NEGATIVE,2,0.35429668
DOC_7CF4694B99A9B928,"The US already have several such laws.. so what are they talking about!

FISA:
This law allows the government to intercept communications for national security purposes, particularly foreign intelligence gathering. The Foreign Intelligence Surveillance Court (FISC) grants warrants for these intercepts, and the proceedings are often secret, according to Wikipedia. 

Wiretap Act:
This law regulates the interception of wire, oral, or electronic communications, primarily for criminal investigations. It requires a court order for interception, with specific requirements for the length of the interception and what can be intercepted. 

Patriot Act:
Following the 9/11 attacks, the Patriot Act expanded the government's surveillance powers, including the ability to monitor communications of U.S. citizens, particularly when one party is outside the U.S.",NEUTRAL,0,0.4418771
DOC_8ED8340FBCAFED11,Uko all your communication is someone’s hands no privacy huh,NEGATIVE,1,0.4612013
DOC_CA1845A975B4C378,"Yes he did well because he has a right as a citizen of Zambia, it's his constitution right",NEUTRAL,6,0.895433
DOC_B1ADE95859F7F3AB,"Linda Chiza Ng'ona Carol Simakando Ndoti  nanga number 2 iyo?
How will you show evidence in certain instances?",NEGATIVE,4,0.42438906
DOC_16BC262F3643E643,These politician are full of lie's while in opposition he was against but today it's ok,NEGATIVE,6,0.56692374
DOC_4826F2FF716BAB73,The caliber of ministers awe sure,NEUTRAL,4,0.8348191
DOC_9C5F882943EF3B4A,Cyber security is good law and so far no constitution provisions have been violated.,POSITIVE,1,0.8684391
DOC_37220D831DEB197D,"Balya nabo, whatever is scaring him isn't real but illusion and paranoid.",NEUTRAL,6,0.50972146
DOC_A11493BD5C341A98,"My wife has responded positively by allowing me to father at least 15 kids with women from different tribes just to help unite the country. I wish other women could emulate my wife and help make this country a better place to live in.
We are one Zambia,one nation!!✊",NEUTRAL,4,0.52283204
DOC_CEA633B9E7E6D277,Ministry of Information and Media - Zambia  why did it have to take the US Embassy for Zambians to know about this law?,NEGATIVE,1,0.47085008
DOC_34D473019F4C81FD,Social media helps people especially the poor get justice coz once the matter is in public domain it helps accountability and transparency. But if it's in secrecy bribery and corruption Can easily happen.,NEGATIVE,2,0.9604976
DOC_6A79A49A96716E32,I agree with you but Tell Yowa People....,NEUTRAL,0,0.8327219
DOC_CA9201E22CACBF03,"Iwe chi pule,is that necessary to say monkey eaters aii???",NEUTRAL,4,0.9085003
DOC_EFEE838101590B03,Aggie Wids Nancy Nch'munya  bwalala kuno,NEUTRAL,6,0.6531082
DOC_8157C1779BBB28BB,"If this law will deal with hackers, scammers, tribalists, insultants, Facebook bullies and terrorists then am very much comfortable and no one will convince me to hate it. Just stop lawlessness and enjoy your life",POSITIVE,2,0.5203976
DOC_39BC783C92C77B49,"All these those reacting with sad emojis and commenting saying this is bad and all, have not actually read everything, you are just following what the other person says,",NEUTRAL,2,0.49422404
DOC_474752749B56269B,"Unfortunately, you can be a member of all the political parties if you so desire as  a card carrier at the moment there is no system in Zambia that can automatically authentic membership, unless at ward, branch , district and provincial level, and that can be possible if one is a paid up contributor. Hence being a party sympathizer like myself does not qualify me as a member, adorning myself with party emblems  does not qualify me to be one either , hence you see dramatized party resignations(removing of t-shirts and Chitenges) and party joining (dressing up in party colors) that process goes on and on. What was George Mtonga in the party, what position did he hold, what contribution did he make, how does his resignation affect the party? People who join an ideology do not easily resign unless the cause or the fundamentals the party championed have been compromised. Or they joined with the hope of benefiting and being considered for a position which has yielded to nothing and frustration. The latter being the most common reason in Zambia specially the reason  people jump from political party to another. In the US Democrats are Democrats,so are  Republicans weather they win or lose, so are most parties in the European union. The faces of a leader may change but party loyalty still remains as entrenched in the tenets or beliefs enshrined in the manifesto of the movement.",NEUTRAL,5,0.41702121
DOC_7BC0CACE189BA223,You have the right to do so as long as you have evidence,NEUTRAL,4,0.52319556
DOC_1B5760C1F2B8B5D9,This law will haunt upnd members more than any other especially if they will lose 2026 general election coz most of upnd members are so dull and careless.,NEGATIVE,0,0.49474943
DOC_02A8EB5317A07FFE,"Job weldone so that we test the credibility of cyber security laws.
We are watching and following",POSITIVE,6,0.87329787
DOC_821CA6B89F935492,Our cyber space should be protected just like any other countries. Those against it know their deeds.,POSITIVE,1,0.8330532
DOC_A71ADBF207F79FCC,"Let the cyber law stay.All those against it are people who love to fabricate lies and do character assisnation to innocent people.No going back the law is in use.Zambians we have become the laughing stock in other countries because of the way we use the internet and social media.Please our government,let this law stay.Those who fear the police officer in the community are those who break the law other wise you can't run away from the police officer if you are a law abiding citizen.Samilarly with this cyber law,you can't panic with it if you are not a social media abuser.",POSITIVE,2,0.97758526
DOC_871D56450DB5B285,"This is too good for us fornicators and adulterers😅 no checking of my phone, no tracking of my location🤣",POSITIVE,4,0.77423793
DOC_F2099CAAA8ADD0C9,"This is because those of us who have dual citizenship could criticize and still be hard to catch but this uncle wants to know everything that's said, which is actually an infringement of our privacy, this is a low down dirty move to corner others that are deemed as threats to the campaign or who just don't agree with the current regime and can voice out their points of views peacefully with their foreign numbers etc or under their Zambian lines, in all it's a control and I highly doubt I'd it's even constitutionally legal but they find excuses to change the constitutional rules to suit their needs. Our current Zambia is not things mwe",NEGATIVE,1,0.45801786
DOC_66FA3B22E77FAB8C,Lelo pa blue app Pali clean.. naba ipukuta bai cleaner,POSITIVE,2,0.71697587
DOC_6738B5BA2FC73732,Kaya why me!!! manje enze na too much freedom of  expression.kazagenamo ma 25years in prisonment.one way of putting him nd the rest of the irresponsible humans to order..,POSITIVE,0,0.4424413
DOC_5292633745B6CD74,"Bally is leaving no stone unturned, consolidating his political power beyond 2026, he is a very determined guy, soon he will get away with constitution amendments just like he  managed to send Lungu to his early.... politically.",NEGATIVE,1,0.5471078
DOC_09DA496808D2509E,And why was your hh against this very act whilst in opposition?,NEGATIVE,2,0.83338565
DOC_A8ED6CFDDD20C45D,Ruth Kasongo find time to read them,NEUTRAL,4,0.643403
DOC_CCF94E64FA94495A,"Don't even clarify anything, those foreigners need to respect our nation. In their countries an African can't do anything useless without being arrested. Time to impress foreigners is gone",POSITIVE,4,0.5339542
DOC_D7176E0F78078476,Easterners are for tuchawa exey,NEUTRAL,6,0.17528394
DOC_CA7869257D762574,let the law stand please we are tired of insults on social media,POSITIVE,6,0.45012385
DOC_A0C06A4ED6C8B0F8,"Without Shame or Remorse 

When you see our elder ku Nsabata please ask him to,

Confess!!!!!!! and Repent!!!!!! before we can move on",NEUTRAL,2,0.7056248
DOC_4A3CE146F89AC22F,"Our communications are now naked,,, kulibe right to privacy?",NEGATIVE,6,0.3594964
DOC_69F8582649BB2E44,True ba pastor mwalanda fye bwino.,POSITIVE,1,0.5332953
DOC_09882E976F0B2A08,It will also instill discipline in all citizens,POSITIVE,2,0.64020663
DOC_05AF1B056FF0D949,A president under a president has spoken,NEUTRAL,2,0.5651068
DOC_9E0D35C56E3A4782,"Exactly,wat are they afraid of",POSITIVE,6,0.83927083
DOC_2A9CD12CC6547611,Let them support the obnoxious legislation so that when they lose power and come to be imprisoned for wrongdoing whilst in power they will get extra charges for speaking out.,NEGATIVE,1,0.6324448
DOC_347CFAF4C3140FC7,Trust them at your own peril. Liar's,NEGATIVE,1,0.40516937
DOC_859F29305FF52812,"Wives will be arrested, for accessing men's mobile phones. Gents ka 2 years che",NEGATIVE,3,0.5669489
DOC_F6ADEB29148F55A2,Bravo bravo to you this is real men,NEUTRAL,1,0.40501097
DOC_25B052C67EF9E7F6,How many years if someone ask when fuel price will be reduced?,NEGATIVE,5,0.6093485
DOC_ABD6AE655A12D2CF,Now those celebrities who come online to insult 😆😂😂,NEUTRAL,2,0.77222
DOC_514D8B9A25EA9475,"These are good laws that ba opposition wanted to yeyerise and look down upon.
Bane cyber laws are here to protect Us, don't listen to what bene miles,mpundu,Emma and their gang are saying.",POSITIVE,4,0.4710761
DOC_7231AFF140B2695F,"These Laws that Target your Opponents will Bite you when you are Out of Power. We have seen this happen Before, it will definitely Bite you.",NEGATIVE,0,0.9072982
DOC_2B1621E2746E40C2,Only criminals of cyber crimes are worried,POSITIVE,2,0.8334074
DOC_5B31CCA9318DB90B,As a grade fili I don’t understand anything 😭😂,NEUTRAL,5,0.63630134
DOC_147367A4409C7C51,"Actually a certain Independent MP was alerting his follows early in the morning about this Law which the MPs passed.cautionining them, making them to be responsible user's of the digital space.",NEUTRAL,1,0.42182064
DOC_BB13A5DBD3DE6E11,"What does that law say? And you mention online abuse which you feel comfortable abusing without being penalized. Any house or country has laws and regulations, in this regard he’s regulating your stupidity whenever you’re online",POSITIVE,6,0.4190758
DOC_077B18CDC711B183,Michael Chungu we need leaders not politicians,NEUTRAL,2,0.7720935
DOC_08D2E1BA66458CFA,The law is just ok many of you like insulting anyhow so now let's see where your insult will go,POSITIVE,6,0.6189601
DOC_B093B8ABCB1A1B11,"Bene your surname says everything mulacibona ! One Zambia one nation is back...
 we are just one people.",POSITIVE,4,0.4775119
DOC_20D3C12C3E306F2D,There is sanity in the air .we failed to regulate our brains but the law is doing it . UPND has my vote in 2026,POSITIVE,5,0.89036775
DOC_AB6C6ECE5AA11901,"Don't hide behind cyber law , just say that you never got what you expected or you have been sidelined , kwati twaice mulebepa, Be like honorable mubita Nawa , position or without position stay royal",NEUTRAL,0,0.62365955
DOC_128D78CDE8245AA7,Finally.. we are sick and tired of people wanting to divide the nation on regional and tribal lines..sanity is being restored👏,POSITIVE,3,0.46722627
DOC_A667E89D56EB6F1C,I am seeing a lot of potential prisoners in this comment section,NEGATIVE,3,0.4586602
DOC_99B3D591D25A3F96,You would have done better to inform us citizens first on these important matters instead of reacting to the US Embassy. One wonders what your information policy is if all you are doing as the Ministry of Information and Media is reacting to other countries government embassies.,NEGATIVE,2,0.51590055
DOC_7F06298EB00F1361,ZNBC Today me am  behind. Is the  cyber law signed by the president or members of the parliament are still debating?,NEUTRAL,6,0.4428593
DOC_B29B2DDFB4AC5775,Ati kuli ichipope cha new 😂,NEUTRAL,1,0.4208219
DOC_3ED14DAFAE376FE5,This is not not good we have OP for years and Zicta which are doing the same work for the country why should we have another group doing the same job the best is to empower this department's,NEGATIVE,4,0.920243
DOC_841442DC92B1C7BC,Its just okay unless you have been wrong all along. And grow numbers depending on such like some celebs I know.,POSITIVE,4,0.56971526
DOC_35616A9BAB307ACF,Enos Klay take your time bro😂,NEUTRAL,6,0.7803639
DOC_79E96C5F9304018F,This country is slowly turning into North Korea.,NEGATIVE,6,0.87327147
DOC_2101D7FC7A5834FA,"Zambia everything is received with mixed feelings,  will get used with it in no time..",NEUTRAL,4,0.5671765
DOC_CCDAC9DE8E2C47E5,Cage them 🤣🤣 They have gotten more than they can chew 🫣,POSITIVE,6,0.17528394
DOC_D9F1EF3E38343296,"Good move, pipo have lost moralz here, its no longer the christian nation as said👌",POSITIVE,3,0.47938776
DOC_1A238BE737DCF6F1,"They gave them freedom of expression bt they used it 4 insults with their chair man Y me. 2 day we hv th law wich will bring sanity especially in th political arena. A normal person wh respects th rights of others cn nt object to such a law bt those wh earn their living through hate speech, insults & character assassination are th ones feeling uncomfortable 2 this law. 4 th past few days hv seen sanity on social media & we need more tough laws",POSITIVE,6,0.86415327
DOC_23FF6646DB1DB8A9,"Don't be to conclusions, read the content and analyze it before your comments become relevant.",NEUTRAL,2,0.40546584
DOC_9BC26C14715E9316,So meaning even in relationships nd marriages it is an offense to access each other’s phones??? Iliko shani apa someone to make me clear 🙏,NEUTRAL,1,0.6624711
DOC_34F331126D619FBD,"Not everyone is dull, people have read it for themselves, stop adding rainbows to that mess",NEGATIVE,1,0.49113935
DOC_25682D4E427C6C88,Trust watchdog at your own risk 😂 if you have a loya,NEUTRAL,1,0.83317906
DOC_533F0692B3BDC75C,This is close to chinas cyber security system and im telling you,NEGATIVE,0,0.67695403
DOC_A04254A9ED1D9C38,U are gone u have pressed a wrong button no any youth will vote for oppressors.,NEGATIVE,5,0.4926382
DOC_EAACF16B38B548CF,"Sorry, next time vote wisely",NEGATIVE,0,0.62788403
DOC_F48DCB707D1E2A68,The fact that you delayed explaining it to us the public means there's something fishy in it,NEGATIVE,1,0.8684044
DOC_4644E0B75B08BB7D,You wanted him to be arrested and he was arrested and released on police bond. Now what else do you want sir? 😂,NEUTRAL,3,0.7120289
DOC_4E793A51057F6D04,"It would be very naive of any person to think that governments don’t track devices. We have just put it in black and white but this has been the norm in many countries. It’s a very good law. 
If we ought to put our country first, we need to know all critical information. 
We need to do better when it comes to intelligence.",POSITIVE,5,0.48109233
DOC_469B9E53E8CEDB31,This one is a liar don't listen to these people soon or later we will going to hear that the constitution has been changed just like that these they don't mean any good for Zambia,NEGATIVE,4,0.33860064
DOC_EEFDEA4F6BCAE360,This is a play with words. The cyber law is draconian.,NEGATIVE,5,0.76982313
DOC_CEDC8FE46E3D4667,"If you think this law is bad, imagine USA",POSITIVE,6,0.83930165
DOC_0F8E1EA9EADC1248,"How much is the cost of equipment  and what does this do for the GDP. Surely I would put money on putting together HOD’s at learning institutions. Namely, Mining , Chemical Engineering and Metallurgy and ask why the Zambian education system is not good enough for the schools to produce copper or silver coins. The schools could be upgraded to produce wires and electric motors. This will change the landscape. Coz we can have BOZ have a metals exchange. Copper will be in the hands of Zambians. And if you are wondering what power you will have, no cold country can build a room without Copper for heating. So if western countries are still developing. It’s easy to do the maths. We don’t need invasion of freedom and privacy. We need production",NEGATIVE,1,0.25642034
DOC_FA9AFC829F1998BF,Timely advice.. I have equally seen a lot of insults.. let's mourn our former president in dignity and commemoration of the development he added to the country,POSITIVE,2,0.9288159
DOC_7F3CD07631A711D8,Da'ana Chimowa come read some babe,NEUTRAL,6,0.17528394
DOC_D4A942E7EE981206,"This law good because it's reminding people that freedoms and rights comes with responsibilities and where your freedom and rights ends someone freedom and rights starts, so one has absolutely or monopoly of freedoms and rights more than others",POSITIVE,6,0.8029239
DOC_7191ACD2E5F7F0EC,Which position was he holding in the party for him to resign. As a member you withdrawal your membership not resign as if you are elected.,NEUTRAL,5,0.7503748
DOC_550593D00AD679EA,Lukana luliteeleza Feela Niku talima Inge monitalimela Zesco 😎😎,NEUTRAL,1,0.6398354
DOC_F1B05BB2E83AC535,Life imprisonment if ask about the Kariba dam water levels.,NEGATIVE,5,0.60491633
DOC_54AF056FAF254ADC,It good the the opposition leaders have started appreciating the Cybercrime law.,POSITIVE,2,0.8686189
DOC_FEF5169E2A68E463,With names like mine I have really suffered.,POSITIVE,2,0.5216771
DOC_207E7F4587688937,"As who??
As what??
What position was he holding?
If non then I have then I have already replaced him",NEUTRAL,5,0.65574056
DOC_35491E2936C7FE05,"The Cyber Security Act raises significant red flags. While the intent to enhance national security is understandable, the law’s broad scope, lack of safeguards, and potential for abuse make it a poor fit for a country like Zambia, where democratic institutions are still developing, and resources are limited. It risks violating privacy, stifling free expression, and deterring foreign engagement—all of which could hinder Zambia’s growth.
A better approach would be a more targeted law focused on specific threats (e.g., cybercrime or terrorism), with clear oversight mechanisms and protections for individual rights.",NEGATIVE,1,0.58689696
DOC_13731422875CFA0D,"A lot of people took freedom of expression to satanism,well done sir Mr HH.",POSITIVE,6,0.76029986
DOC_26F5B2AF3F983ED3,Instead of fixing the economy... busy wasting time of such things,NEGATIVE,4,0.4765499
DOC_A87C5E442304D809,We're ready to remove them from power,NEGATIVE,4,0.8348081
DOC_00EBC206B42B77F0,People will now know how to address us on social media.. not that nonsense that used to happen this time around people will talk to us with respect..🤣🤣🤣🤣🤣🤣,POSITIVE,6,0.49121857
